Nombre y tensión del nudo;Código Subestación;Comunidad Autónoma;POSICIONES DE GEN/ALM;;;;CRITERIO DE POTENCIA DE CORTOCIRCUITO (WSCR);;;;CRITERIO ESTÁTICO GENERACIÓN;;;CRITERIO ESTÁTICO ALMACENAMIENTO;;;CRITERIO DINÁMICO;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO OTORGADA;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO EN CURSO DE TRAMITACIÓN;;;;;;;MARGEN DE CAPACIDAD DE ACCESO TOTAL;;;;CRITERIOS LIMITANTES;;;;;;;;CAPACIDAD DE ACCESO NO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;CAPACIDAD DE ACCESO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;;;;CAPACIDAD DE ACCESO LIBERADA PARA SOLICITUDES DE AUTOCONSUMO SEGÚN  EL REAL DECRETO-LEY 7/2026;;;;;;Motivo de reserva de capacidad de acceso en el nudo;Normativa específica reguladora de la concesión de la capacidad de acceso;;;;;;;;;;;;;;;
;;;A red de transporte;;A red de distribución;;Capacidad de acceso nodal;Binudos;Afección de CS a seguridad del sistema;Margen no ocupado;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen no ocupado;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen no ocupado;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Limitación interna por configuración del nudo;Margen no ocupado;Capacidad de acceso otorgada MGE;Capacidad de acceso otorgada MGES;Capacidad de acceso otorgada MPE con afección WSCR;Capacidad de acceso otorgada MPE sin afección WSCR;Capacidad de acceso otorgada MPE;Capacidad de acceso otorgada GEN;Capacidad de acceso otorgada ALM;Capacidad de acceso solicitada en curso y pendiente resolver MGE;Capacidad de acceso solicitada en curso y pendiente resolver MGES;Capacidad de acceso solicitada en curso y pendiente resolver MPE con afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE sin afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE;Capacidad de acceso solicitada en curso y pendiente resolver GEN;Capacidad de acceso solicitada en curso y pendiente resolver ALM;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Limitación por Posición;;;;Generación;;Almacenamiento;;Motivo capacidad no disponible;Generación;;;;Almacenamiento;;;;"Capacidad de acceso liberada para MGES 
[MW]";"Capacidad de acceso liberada para MPE 
[MW]";"Capacidad de acceso otorgada para MGES 
[MW]";"Capacidad de acceso otorgada para MPE 
[MW]";"Capacidad de acceso disponible para MGES 
[MW]";"Capacidad de acceso disponible para MPE 
[MW]";;;;;;;;;;;;;;;;;
;;;E;P;E;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"MGES 
[MW]";"MPE
[MW]";"MGES 
[MW]";" MPE
[MW]";MGES;MPE;MGES;MPE;Capacidad máxima otorgable en el nudo;¿Existe limitación por posición?;Margen MGES;Margen MPE;"MGES 
[MW]";"MPE
[MW]";"MGES 
[MW]";" MPE
[MW]";;"MGES RdTo MPE con compensador síncrono RdT
[MW]";"MPE RdT
[MW]";"MGES RdD, MPE no conectado al primer nivel de transformación RdD o MPE con compensador síncrono RdD
[MW]";"MPE RdD
[MW]";"MGES RdTo MPE con compensador síncrono RdT
[MW]";"MPE RdT
[MW]";"MGES RdD, MPE no conectado al primer nivel de transformación RdD o MPE con compensador síncrono RdD
[MW]";"MPE RdD
[MW]";;;;;;;;;;;;;;;;;;;;;;;
ABADES 400;52065;Castilla y León;;1;;;428; N/A ;  ;71;2.406;E268_SEPE;2.049;2.408;E268_SEPE;2.051;906; D59_SEPE ;906;549;357;0;357;0;357;357;0;0;0;0;0;0;0;0;549;71;549;71;D_Nudo/D_Zona;WSCR_Nudo;D_Nudo/D_Zona;WSCR_Nudo;600;;243;71;549;71;549;71;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;55;7;0;0;55;7;Concurso;;;;;;;;;;;;;;;;
ABADES 220;52065;Castilla y León;;;;;124; N/A ;  ;124;600;E268_SEPE;600;600;E268_SEPE;600;906; D59_SEPE ;N/A;549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;549;124;549;124;D_Zona;WSCR_Nudo;D_Zona;WSCR_Nudo;0;;0;0;549;124;549;124;Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
ABADIANO 220;50000;País Vasco;;;2;;538; N/A ;  ;538;908;N/A;780;980;N/A;847;987; N/A ;N/A;854;134;31;0;102;102;128;6;0;0;0;0;0;0;0;780;538;847;538;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;;0;0;780;538;847;538;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;78;54;0;0;78;54;Concurso;;;;;;;;;;;;;;;;
ABANILLA 400;52072;Región de Murcia;;1;;;753; N/A ;  ;753;2.301;N/A;2.301;2.522;N/A;2.522;270; N/A ;270;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;270;270;270;D_Nudo;D_Nudo;D_Nudo;D_Nudo;600;;270;270;270;270;270;270;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;27;27;0;0;27;27;Concurso;;;;;;;;;;;;;;;;
ABANTO 400;50001;País Vasco;;;;1;780; N/A ;  ;780;5.599;N/A;5.599;5.599;N/A;5.599;625; N/A ;625;625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;625;625;625;625;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;;0;0;625;625;625;625;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;62;62;0;0;62;62;Concurso;;;;;;;;;;;;;;;;
ABEGONDO 400;50700;Galicia;;;;;461; N/A ;  ;461;1.785;E115_SEPE;1.680;1.925;E115_SEPE;1.925;2.527; D24_SEPE ;827;675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;461;675;461;D_Zona;WSCR_Nudo;D_Zona;WSCR_Nudo;0;;0;0;675;461;675;461;Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
ABEGONDO 220;50700;Galicia;;1;;;210; N/A ;  ;135;600;E115_SEPE;448;600;E115_SEPE;448;827; D24_SEPE ;N/A;675;152;0;75;77;152;152;0;4;0;4;0;4;4;0;448;135;448;135;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;400;;248;135;448;135;448;135;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;45;13;0;0;45;13;Concurso;;;;;;;;;;;;;;;;
ABONA 220;50701;Canarias;;2;;;101; N/A ;  ;36;158;E12_SEC;0;207;E12_SEC;33;0; N/A ;N/A;0;65;0;65;0;65;65;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona/D_Nudo;Est_Gen_Zona/D_Nudo;D_Nudo;D_Nudo;800;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
ABONA 66;50701;Canarias;1;1;;;75; N/A ;  ;0;132;E10_SEC, E12_SEC;0;149;E10_SEC, E12_SEC;0;57; N/A ;N/A;0;108;0;108;0;108;108;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona/D_Nudo;WSCR_Nudo/Est_Gen_Zona/D_Nudo;Est_Alm_Zona/D_Nudo;WSCR_Nudo/Est_Alm_Zona/D_Nudo;#¡VALOR!;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
ABRERA 220;50002;Cataluña;;;3;;257; N/A ;  ;251;269;E205_SEPE;15;306;E205_SEPE;262;821; N/A ;N/A;777;44;22;6;16;22;44;0;9;0;0;9;9;0;9;15;15;262;251;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Nudo;WSCR_Nudo;0;SI;0;0;15;15;262;251;Concurso por resolución SEE. Limitación de capacidad por posición;0;0;0;0;0;0;0;0;2;2;0;0;2;2;Concurso;;;;;;;;;;;;;;;;
